,t_shem_esek,t_hesber_mahut_esek,t_categoria,t_ktovet,mahuiot,cords
28,מפגש חיים,מקום אחר למכירת מזון באריזות סגורות מכירת משקאות שלא לצריכה במקום כריכים מוכנים ממקור מאושר בחוק.,מזון,הירקון 296 ,"מקום אחר למכירת מזון באריזות סגורות מכירת משקאות שלא לצריכה במקום כריכים מוכנים ממקור מאושר בחוק.,","(32.095986, 34.77463)"
29,באלינג'רה,אחסנת מזוןלמסעדה ( בתיק רשוי 6088 ).,מזון,"מל""ן 3 ","אחסנת מזוןלמסעדה ( בתיק רשוי 6088 ).,","(32.069875, 34.766784)"
30,"פישר תכשיטים בע""מ","חומר גלם, מוצר, מכשיר או חלקיו שאינם טעונים רישוי לפי פרט אחר בתוספת זו- ייצורו, עיבודו, צביעתו, הרכבתו, ציפויו, השחזתו, הדפסה עליו, תיקונו.","תעשיה, כימיה, מחצב",יונה הנביא 39 ,"עבוד תכשיטים,מכירת תכשיטים.,","(32.072155, 34.768606)"
32,אוקינאוה לבונטין,"מסעדה להכנת סושי, עוף, בשר, איטריות מרקים, סלטים , וירקות  לרבות הגשת משקאות משכרים לצריכה במקום. 
",מזון,לבונטין 11 ,"מסעדה להכנת סושי, עוף, בשר, איטריות מרקים, סלטים , וירקות  לרבות הגשת משקאות משכרים לצריכה במקום. 
,","(32.061837, 34.774949)"
34,אופיר,מספרה לגברות וגברים.,"בריאות, רוקחות, קוסמטיקה",האוזנר דב 3 ,"מספרה לגברות וגברים.,טיפול יופי קוסמטיקה, מניקור, והרחקת שיער.,","(32.1103013, 34.7900448)"
35,בלפוריה,קיוסק מכירת כריכים מוכנים ממקור מאושר כחוק משקאות קלים  מכירת תה  וקפה בכוסות חד פעמיים ממתקים סגריות,מזון,הרצל 131 ,"קיוסק מכירת כריכים מוכנים ממקור מאושר כחוק משקאות קלים  מכירת תה  וקפה בכוסות חד פעמיים ממתקים סגריות,","(32.05009, 34.769625)"
44,המקום הכי,מכירת משקאות קלים גלידה עוגות ממתקים וסיגריות.,מזון,נחלת בנימין 1 ,"מכירת משקאות קלים גלידה עוגות ממתקים וסיגריות.,הכנת מיצים טבעיים גזר ותפוזים בלבד ללא הגשה במקום.,","(32.069232, 34.770361)"
46,מוסך ליטל,מוסך לפחחות וצביעת רכב.,רכב ותחבורה,האחים מסלאויטה 6 ,"מוסך לפחחות וצביעת רכב.,","(None, None)"
49,בועז רווה,מספרה.,"בריאות, רוקחות, קוסמטיקה",בן יהודה 225 ,"מספרה.,פדיקור ומניקור.,מכון יופי.,","(32.095048, 34.7753418)"
52,ליידי ביוטי סלון,"טיפול יופי ,קוסמטיקה והרחקת שיער.","בריאות, רוקחות, קוסמטיקה",בן עמי 10 ,"טיפול יופי ,קוסמטיקה והרחקת שיער.,פדיקור ומניקור.,","(32.0784469, 34.7727435)"
53,מכלת עיני שלמה,מכלת,מזון,הקשת 3 ,"מכלת,","(32.04177, 34.774678)"
55,תותי פרוטי,"4.7 ב - מרכול - מקום לממכר מזון ומוצרי צריכה לשימוש אישי או ביתי, שאין בו טיפול במזון לרבות משלוח מזון

",מזון,עיר שמש 35 ,"4.7 ב - מרכול - מקום לממכר מזון ומוצרי צריכה לשימוש אישי או ביתי, שאין בו טיפול במזון לרבות משלוח מזון

,4.7 ב - מרכול למכירת פירות וירקות.,","(32.124572, 34.825886)"
57,שווארמה יאשקה,"בית אוכל להכנת והגשת שווארמה, צ'יפס, סלטים מירקות טריים,הגשה בכלים חד פעמיים.",מזון,פרישמן 39 ,"בית אוכל להכנת והגשת שווארמה, צ'יפס, סלטים מירקות טריים,הגשה בכלים חד פעמיים.,","(32.079858, 34.773512)"
63,גמא ראשים,עיבוד מתכת,"תעשיה, כימיה, מחצב",בן אביגדור 18 ,"עיבוד מתכת,","(32.067048, 34.789567)"
64,מריו לוי,מספרה.,"בריאות, רוקחות, קוסמטיקה",בן יהודה 161 ,"מספרה.,פדיקור ומניקור.,","(32.088721, 34.773401)"
65,כלמוביל,מכירת כלי רכב (כולל תצוגה),רכב ותחבורה,אלון יגאל 92 ,"מכירת כלי רכב (כולל תצוגה),חנות ששטחה הכולל 500 מ""ר לפחות.,","(31.737317, 34.7493121)"
70,טוני וספה,"בית אוכל להכנה והגשת פיצה  [ללא משלוחים ע""י קטנועים].",מזון,רוטשילד 140 ,"בית אוכל להכנה והגשת פיצה  [ללא משלוחים ע""י קטנועים].,משקאות משכרים-הגשתם לצורך צריכה במקום ההגשה.,","(32.0716773, 34.7792171)"
72,אלמז מנדל,"4.2ב - מזנון, בית אוכל אחר, ללא הגשת משקאות משכרים לצריכה במקום
",מזון,פרנקל ידידיה 4 ,"מזנון, בית אוכל אחר, לרבות הגשת משקאות משכרים לצריכה במקום
,","(32.057012, 34.76766)"
77,הארלי,"מכירת כלי רכב בחנות (אולם) ששטחה מעל 500 מ""ר",מסחר ושונות,המלאכה 1 ,"כלי רכב וציוד מכני הנדסי (צמ""ה )למעט חלקים משומשים-מכירתם, השכרתם, תווך בהם.למעט אולם תצוגה לכלי רכב חדשים.,כלי רכב וציוד מכני הנדסי (צמ""ה), למעט חלקים משומשים - התקנת אביזרים בהם, לרבות מערכות קול ואזעקה.,","(32.066704, 34.785082)"
81,אקספרסו,מסעדה  לבישול בלבד (ללא גריל).,מזון,שאול המלך 39 ,"מסעדה  לבישול בלבד (ללא גריל).,","(32.0778913, 34.790694)"
83,זהר בייקרי,"בית אוכל להכנה והגשת דברי מאפה ,פוקאצ'ות ,פיצות (הכנת בצק במקום מקמח באריזות 1 ק""ג )+הכנה והגשת סלטים מירקות טריים, כריכים וטוסטים לפי הזמנת לקוח+ הכנת חביתות(הגשה בכלים חד פעמיים), לרבות הגשת משקאות משכרים לצריכה במקום.",מזון,אלון יגאל 155 ,"בית אוכל להכנה והגשת דברי מאפה ,פוקאצ'ות ,פיצות (הכנת בצק במקום מקמח באריזות 1 ק""ג )+הכנה והגשת סלטים מירקות טריים, כריכים וטוסטים לפי הזמנת לקוח+ הכנת חביתות(הגשה בכלים חד פעמיים), לרבות הגשת משקאות משכרים לצריכה במקום.,","(31.737317, 34.7493121)"
85,ג'וז ולוז,"מסעדה (כולל דגים, ללא אפיה), לרבות הגשת משקאות משכרים לצריכה במקום. 
",מזון,גבולות 5 ,"מסעדה (כולל דגים, ללא אפיה), לרבות הגשת משקאות משכרים לצריכה במקום. 
,","(32.059148, 34.767734)"
87,טיפת מזל,"מזנון,בית אוכל אחר ,לרבות הגשת משקאות משכרים לצריכה במקום, ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8",מזון,אלון יגאל 1 ,"מזנון,בית אוכל אחר ,לרבות הגשת משקאות משכרים לצריכה במקום, ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8,","(32.7775329, 35.0121112)"
91,"צוותא 1, 3",אולם תיאטרון וקונצרט,עינוג ציבורי כללי,אבן גבירול 30 ,"אולם תיאטרון וקונצרט,מקום לעריכת מופעים.,עסק המצוי בקניון ללא חברת ניהול,","(32.075175, 34.78205)"
94,"שופרסל בע""מ",מכלת- מכירת מצרכי מזון קפואים ומצוננים.,מזון,יהודה המכבי 81 ,"מכלת- מכירת מצרכי מזון קפואים ומצוננים.,מכירת עוף שאינו קפוא ארוז מראש ע""י ספק מורשה.,בשר, עופות, דגים וסנפרוסט קפוא, ארוז מראש,מכירת פירות וירקות.,אפיית דברי מאפה מבצק מוכן ומוקפא לצרכי מכירה במקום.,","(32.094199, 34.792768)"
95,יהודה הלוי גסטרו פאב,מסעדה.(ללא דגים)+אפיה מבצק מוכן וקפוא לרבות צריכת משקאות משכרים במקום,מזון,יהודה הלוי 58 ,"מסעדה.(ללא דגים)+אפיה מבצק מוכן וקפוא .,צריכת משקאות משכרים במקום.,","(32.065539, 34.778541)"
98,קוקליקו,בית דפוס,"תעשיה, כימיה, מחצב",הר ציון 108 ,"בית דפוס,","(32.050652, 34.7736)"
99,"אנ.ק.ס מעבדות בע""מ",מספרה.,"בריאות, רוקחות, קוסמטיקה",ארלוזורוב 53 ,"מספרה.,","(32.086149, 34.778728)"
100,קיוסק השופטים,"קיוסק, מכ' משקאות קלים,שלגונים,ממתקים ודברי מאפה באריזות סגורות.",מזון,אבן גבירול 38 ,"קיוסק, מכ' משקאות קלים,שלגונים,ממתקים ודברי מאפה באריזות סגורות.,","(32.0764931, 34.7816751)"
104,בית פרנקפורט,"7.7 ב - קולנוע, תיאטרון",עינוג ציבורי כללי,קיציס יוסף 23 ,"""אודיטריום""   אולם  לתיאטרון קונצרטים ומופעי בידור.,הצגות מופעים מחזות אסיפות והרצאות.,משחקי קלפים (ברידגי ושחמט).,","(32.10625, 34.818988)"
107,סביח פרישמן,"בית אוכל להכנת והגשת סביח (חצילים מטוגנים +ביצים), בפיתות מוכנות ובצלחות בתוספת ירקות וסלטים+ לרבות הגשת משקאות משכרים",מזון,הברזל 20 ,"4.2א - מסעדה - בית אוכל להכנת והגשת סביח (חצילים מטוגנים +ביצים), בפיתות מוכנות ובצלחות בתוספת ירקות וסלטים ללא משקאות משכרים,","(32.10809915, 34.8388992405101)"
108,סיטי 24/7,מקום אחר למכירת מזון.,מזון,אבן גבירול 22 ,"מכירת מצרכי מזון - משקאות שלא לצריכה במקום, עוגיות, ממתקים        ופיצוחים.,","(31.7748073, 35.2151509)"
109,מזרחי שמואל תכשיטים,עיבוד תכשיטים,"תעשיה, כימיה, מחצב",נחלת בנימין 38 ,"עיבוד תכשיטים,מכירת תכשיטים,","(32.064709, 34.770975)"
