,t_shem_esek,t_hesber_mahut_esek,t_categoria,t_ktovet,mahuiot,cords
7786,מלון שלום,בית מלון 51 חדרים,עינוג ציבורי כללי,הירקון 216 ,"בית מלון 51 חדרים,אפיית דברי מאפה מבצק מוכן ומוקפא להגשה במקום.,מזנון מצומצם לארוחת בוקר בלבד לרבות צריכת משקאות משכרים,","(32.089315, 34.772257)"
7787,הנסיך הקטן,"בית קפה, לרבות הגשת משקאות משכרים לצריכה במקום (בחנות ספרים). 
",מזון,המלך ג'ורג' 19 ,"בית קפה, לרבות הגשת משקאות משכרים לצריכה במקום (בחנות ספרים). 
,","(31.7813255, 35.2164995)"
7794,צמיגי סער,תיקון תקרים ( פנצ'ריה ).,רכב ותחבורה,חרוץ 12 ,"תיקון תקרים ( פנצ'ריה ).,","(31.0853135, 35.0302026)"
7796,"גאיה רינר בע""מ","4.2ב - מזנון, בית אוכל אחר לרבות משלוחי מזון ,ללא הגשת משקאות משכרים לצריכה במקום
",מזון,יהודה המכבי 73 ,"מזנון.לרבות צריכת משקאות משכרים במקום,מקום למכירת שמן זית ,ריבות, ממרחים ,לחם ,עוגיות ועוגות ממקור מאושר בחוק.,","(32.09409, 34.792133)"
7797,קרנף אבן גבירול,בית אוכל אחר להגשה וצליית בשר (עוף או בקר) ממקור מאושר כחוק  ללא עיבוד במקום בתוך כריך / טורטיה מבצק מוכן ממקור מאושר בתוספת רטבים וירקות בכלים חד פעמיים(מחסן ומשרד ושירותים בשטח סמוך מס' תיק 63995).,מזון,אבן גבירול 164 ,"בית אוכל אחר להגשה וצליית בשר (עוף או בקר) ממקור מאושר כחוק  ללא עיבוד במקום בתוך כריך / טורטיה מבצק מוכן ממקור מאושר בתוספת רטבים וירקות בכלים חד פעמיים(מחסן ומשרד ושירותים בשטח סמוך מס' תיק 63995).,","(32.090698, 34.783016)"
7798,שיווק מזון מיכאלי יוסף,מקום אחר למכירת מזון ומשקאות משכרים שלא לצריכה במקום.,מזון,מטלון 81 ,"מקום אחר למכירת מזון ומשקאות משכרים שלא לצריכה במקום.,","(32.057241, 34.777042)"
7799,טופ  גאן שיווק,מוסך לתיקון אופנועים- חנות אביזרים.,רכב ותחבורה,אלון יגאל 122 ,"מוסך לתיקון אופנועים- חנות אביזרים.,","(31.737317, 34.7493121)"
7809,בראוני,"4.7 ב - מרכול - כמשמעותו בפריט 4.7 ב' שיש בו טיפול במזון , לרבות משלוח מזון

",מזון,"צה""ל 71 ","4.7 ב - מרכול - כמשמעותו בפריט 4.7 ב' שיש בו טיפול במזון , לרבות משלוח מזון

,","(32.121743, 34.834761)"
7810,בדיחי  שלום,"מכירת  תבלינים, קטניות  ופיצוחים.",מזון,קהילת לבוב 2 ,"מכירת  תבלינים, קטניות  ופיצוחים.,","(32.108962, 34.819702)"
7811,מאיר לוי,מספרה,"בריאות, רוקחות, קוסמטיקה",המלך ג'ורג' 16 ,"מספרה,","(31.782065, 35.21631)"
